POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Stories,Alternate_Stories,New_Building_Number,Building_Constructed,Primary_Building_Use,Additional_Addresses,Public_Space_Location,Public_Space_Type,Arcade,Covered_Pedestrian_Space,Elevated_Plaza,Open_Air_Concourse,Pedestrian_Circulation_Space,Plaza,Public_Plaza,Residential_Plaza,Sidewalk_Widening,Through_Block_Arcade,Through_Block_Connection,Through_Block_Galleria,Urban_Plaza,Other_Public_Spaces,Other_Public_Spaces_List,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required_List,Hour_Of_Access_Required,Open_24_Hours,Restricted_Hours,Closing_for_Events,Amenities_Required_List,Amenities_Required,None,Artwork,Bicycle_Parking,Climate_Control,Drinking_Fountain,Elevator,Escalator,Food_Service,Lighting,Litter_Receptacles,Planting,Plaque_Sign,Programs,Restrooms,Retail_Frontage,Seating,Subway,Tables,Trees_on_Street,Trees_within_Space,Water_Feature,Other_Required,Permitted_Amenities_List,Permitted_Amenities,Open_Air_Cafe,Other_Permitted,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
M010003,Manhattan,1,01,130,LIBERTY STREET,10006,"130 LIBERTY STREET, New York, NY 10006",00054,0001,One Bankers Trust Plaza,"Full block bounded by Liberty, Albany, Washington, and Greenwich Streets",1973,39,,"31/71",Completed,Commercial,,,Arcade; Elevated Plaza; Elevated Shopping Way; Pedestrian Bridge; Pedestrian Connection; Plaza; Shopping Arcade,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Elevated Plaza; Elevated Shopping Way; Pedestrian Bridge; Pedestrian Connection; Shopping Arcade,Fisher Brothers,"Shreve, Lamb & Harmon","Shreve, Lamb & Harmon; Thomas Balsley Associates",Arcade 7175.00 sf; Elevated Plaza 0.00 sf; Elevated Shopping Way 0.00 sf; Pedestrian Bridge 0.00 sf; Pedestrian Connection 0.00 sf; Plaza 7623.00 sf; Shopping Arcade 0.00 sf,24 Hours; Restricted Hours,"Arcade: 24 Hours; Elevated Plaza: 24 Hours; Elevated Shopping Way: Restricted Hours (Weekdays, 7:00 am to 7:00 pm); Pedestrian Bridge: 24 Hours; Pedestrian Connection: 24 Hours; Plaza: 24 Hours; Shopping Arcade: 24 Hours",Yes,"Weekdays, 7:00 am to 7:00 pm",,Climate Control; Escalator; None; Other Required; Planting; Retail Frontage; Seating; Trees within Space; Water Feature,Arcade: Water Feature (Semicircular fountain of approximately 55-foot diameter); Elevated Plaza: Other Required (2 kiosks); Elevated Plaza: Planting; Elevated Plaza: Seating (Approximately 350 linear feet on planter ledge); Elevated Plaza: Trees within Space (16); Elevated Shopping Way: Climate Control; Elevated Shopping Way: Escalator (Connecting Shopping Arcade to Elevated Shopping Way); Elevated Shopping Way: Retail Frontage; Pedestrian Bridge: None; Pedestrian Connection: Other Required (Pedestrian Underpass between One Liberty Plaza and World Trade Center extending from the northwest corner of Church and Cortlandt Streets westward under Church Street); Plaza: None; Shopping Arcade: Escalator (Connecting Shopping Arcade to Elevated Shopping Way); Shopping Arcade: Retail Frontage,Yes,,,Yes,,,Connecting Shopping Arcade to Elevated Shopping Way; Connecting Shopping Arcade to Elevated Shopping Way,,,,Yes,,,,Yes,Approximately 350 linear feet on planter ledge,,,,16,Semicircular fountain of approximately 55-foot diameter,2 kiosks; Pedestrian Underpass between One Liberty Plaza and World Trade Center extending from the northwest corner of Church and Cortlandt Streets westward under Church Street,Other Permitted,Elevated Plaza: Other Permitted (Cafe),,Cafe,"Full/Partial",40.709616,-74.013389 ,0980538,0197809
M010004,Manhattan,1,01,1,LIBERTY PLAZA,10006,"1 LIBERTY PLAZA, New York, NY 10006",00062,7501,One Liberty Plaza,"Full block bounded by Broadway, Church Street, Liberty Street, and Cortlandt Street. Original BBL: 62/1001-1017.",1972,54,,"67/67",Completed,Commercial,,,Open Area; Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Open Area,,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Cooper, Robertson and Partners Architects (for alteration in 2005)",Open Area 0.00 sf; Plaza 30361.50 sf,24 Hours,Open Area: 24 Hours; Plaza: 24 Hours,Yes,,,"Artwork; Lighting; None; Planting; Plaque/Sign; Seating; Subway; Tables; Trees within Space","Open Area: None; Plaza: Artwork (Abstract steel sculpture in Plaza to the south); Plaza: Lighting (In Plaza to the south); Plaza: Planting (in Plaza to the north, and 2 long rectangular raised planters with shrubs and 3 low planters in Plaza to the south); Plaza: Plaque/Sign (2 entry plaques and 1 information plaque in Plaza to the south); Plaza: Seating (1,010 linear feet of fixed benches in Plaza to the north; 32 fixed seats at tables in Plaza to the south); Plaza: Subway (Stair access to the subway station, open Monday through Friday from 8:00 am to 6:00 pm); Plaza: Tables (16 fixed tables in Plaza to the south); Plaza: Trees within Space (8 in planters in Plaza to the north; 55 honeylocust trees and 1 London Plane tree in Plaza to the south)",Yes,Abstract steel sculpture in Plaza to the south,,,,,,,In Plaza to the south,,"in Plaza to the north, and 2 long rectangular raised planters with shrubs and 3 low planters in Plaza to the south",2 entry plaques and 1 information plaque in Plaza to the south,,,,"1,010 linear feet of fixed benches in Plaza to the north; 32 fixed seats at tables in Plaza to the south","Stair access to the subway station, open Monday through Friday from 8:00 am to 6:00 pm",16 fixed tables in Plaza to the south,,8 in planters in Plaza to the north; 55 honeylocust trees and 1 London Plane tree in Plaza to the south,,,,,,,"Full/Partial",40.709754,-74.010843 ,0981244,0197859
M010005,Manhattan,1,01,140,BROADWAY,10005,"140 BROADWAY, New York, NY 10005",00048,0001,,"Full block bounded by Nassau, Broadway, Cedar Street, and Liberty Street",1965,49,,"76/64",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Harry Helmsley,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Alta Planning & Design (for alteration in 2012)",Plaza 15924.30 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,Other Permitted,Plaza: Other Permitted (41-dock Bike Share bicycle docking station),,41-dock Bike Share bicycle docking station,"Full/Partial",40.708650,-74.010117 ,0981445,0197457
M010006,Manhattan,1,01,33,MAIDEN LANE,10038,"33 MAIDEN LANE, New York, NY 10038",00067,0023,Two Federal Reserve Plaza,Full blockfront on east side of Nassau Street between Maiden Lane and John Street,1984,26,,"2/82",Completed,Commercial,,,Covered Pedestrian Space; Public Pedestrian Circulation Area,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Public Pedestrian Circulation Area,George Klein,"Johnson/Burgee Architects","Johnson/Burgee Architects",Covered Pedestrian Space 4441.00 sf; Public Pedestrian Circulation Area 935.00 sf,24 Hours; Restricted Hours,"Covered Pedestrian Space: Restricted Hours (Monday - Saturday, 6:00 am to 10:00 pm); Public Pedestrian Circulation Area: 24 Hours",Yes,"Monday - Saturday, 6:00 am to 10:00 pm",,Escalator; Lighting; Retail Frontage; Seating; Subway; Trees within Space,"Covered Pedestrian Space: Escalator (Leading to lower level and connecting directly to subway station); Covered Pedestrian Space: Lighting; Covered Pedestrian Space: Retail Frontage (167 linear feet (80% of the retail frontage on both levels of the Covered Pedestrian Space shall be leased to, among others, small stores and cafés)); Covered Pedestrian Space: Seating (17 chairs); Covered Pedestrian Space: Subway (Escalator access to subway station); Covered Pedestrian Space: Trees within Space (8 potted trees); Public Pedestrian Circulation Area: Lighting",,,,,,,Leading to lower level and connecting directly to subway station,,Yes,,,,,,"167 linear feet (80% of the retail frontage on both levels of the Covered Pedestrian Space shall be leased to, among others, small stores and cafés)",17 chairs,Escalator access to subway station,,,8 potted trees,,,,,,,"Full/Partial",40.709123,-74.008480 ,0981899,0197629
M010007,Manhattan,1,01,100,WILLIAM STREET,10038,"100 WILLIAM STREET, New York, NY 10038",00068,0036,,Full blockfront on east side of William Street bounded by Platt and John Streets,1973,21,,"56/69",Completed,Commercial,,,Covered Pedestrian Space,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,"Emery Roth & Sons; Rogers Marvel Architects, PLLC (for alteration in 2010)",Covered Pedestrian Space 5242.00 sf,Restricted Hours,Covered Pedestrian Space: Restricted Hours (7:00 am - midnight),,7:00 am - midnight,,"Lighting; Plaque/Sign; Retail Frontage; Seating","Covered Pedestrian Space: Lighting (5 horizontal foot candles); Covered Pedestrian Space: Plaque/Sign (2); Covered Pedestrian Space: Retail Frontage (""Flanking"" Covered Pedestrian Space); Covered Pedestrian Space: Seating (13.75 linear feet required, 55 lf provided)",,,,,,,,,5 horizontal foot candles,,,2,,,"""Flanking"" Covered Pedestrian Space","13.75 linear feet required, 55 lf provided",,,,,,,,,,,"Full/Partial",40.708346,-74.007199 ,0982254,0197346
M010008,Manhattan,1,01,200,WATER STREET,10038,"200 WATER STREET, New York, NY 10038",00075,0001,,"Full block bounded by Water Street, Pearl Street, John Street, and Fulton Street",1971,32,,"50/69",Completed,Residential,,East side of Pearl Street north of John Street,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Robert Kaufman and Max Spitzer,Emery Roth & Sons,Emery Roth & Sons; Rogers Marvel Architects (for alteration in 2012),Arcade 3222.00 sf; Plaza 4010.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,"Artwork; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Tables; Trees within Space","Arcade: None; Plaza: Artwork (Art piece); Plaza: Litter Receptacles (1); Plaza: Planting (174 sf); Plaza: Plaque/Sign (1 at entry on John Street); Plaza: Seating (70 linear feet composed of benches with backs, benches without backs, and movable seating); Plaza: Tables (3); Plaza: Trees within Space (1)",Yes,Art piece,,,,,,,,1,174 sf,1 at entry on John Street,,,,"70 linear feet composed of benches with backs, benches without backs, and movable seating",,3,,1,,,,,,,"Full/Partial",40.707410,-74.004736 ,0982937,0197005
M010009,Manhattan,1,01,180,WATER STREET,10038,"180 WATER STREET, New York, NY 10038",00070,0032,,Full blockfront on south side of John Street between Water and Pearl Streets,1969,24,,"37/66",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Theodore Locker,Emery Roth & Sons,Emery Roth & Sons,Arcade 2404.41 sf; Plaza 3949.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.706996,-74.005544 ,0982713,0196854
M010010,Manhattan,1,01,88,PINE STREET,10005,"88 PINE STREET, New York, NY 10005",00038,0017,Wall Street Plaza,"Bounded by Front Street, Water Street, and Maiden Lane",1971,32,,"12/69",Completed,Commercial,,,Special Permit Plaza,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Special Permit Plaza,,"I.M. Pei and Partners; C.Y. Tung/Morley Cho","I.M. Pei and Partners; C.Y. Tung/Morley Cho",Special Permit Plaza 9907.00 sf,24 Hours,Special Permit Plaza: 24 Hours,Yes,,,Artwork; Planting; Seating; Subway; Trees within Space; Water Feature,"Special Permit Plaza: Artwork; Special Permit Plaza: Planting; Special Permit Plaza: Seating (Circular bench of 38 linear feet; 24 chairs representing 60 linear feet available May 15 through September 15, 7:00 am to 7:00 pm, September 16 through May 14, 8:00 am to 5:00 pm); Special Permit Plaza: Subway (Passageway through the below street level concourse of the 88 Pine Street building to the Second Avenue Subway and a street level entrance from the plaza to the subway (subway not yet constructed)); Special Permit Plaza: Trees within Space (10); Special Permit Plaza: Water Feature (Waterfall and pool)",,Yes,,,,,,,,,Yes,,,,,"Circular bench of 38 linear feet; 24 chairs representing 60 linear feet available May 15 through September 15, 7:00 am to 7:00 pm, September 16 through May 14, 8:00 am to 5:00 pm",Passageway through the below street level concourse of the 88 Pine Street building to the Second Avenue Subway and a street level entrance from the plaza to the subway (subway not yet constructed),,,10,Waterfall and pool,,,,,,"Full/Partial",40.705662,-74.006168 ,0982540,0196368
M010011,Manhattan,1,01,180,MAIDEN LANE,10005,"180 MAIDEN LANE, New York, NY 10005",00037,0023,,"Full block bounded by South Street, Front Street, Pine Street, and Maiden Lane",1982,35,,"19/79",Completed,Commercial,,,Enclosed Public Space; Outdoor Public Space,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Enclosed Public Space; Outdoor Public Space,,Swanke Hayden Connell; Kohn Pedersen Fox,Swanke Hayden Connell; Kohn Pedersen Fox; Thomas Balsley Associates (for Outdoor Public Space); Perkins Eastman (2015 Design Change),Enclosed Public Space 14442.00 sf; Outdoor Public Space 6678.00 sf,24 Hours; Restricted Hours,"Enclosed Public Space: Restricted Hours (Monday through Saturday, 8:30 am to 10:00 pm. Sundays from 10:00 am to 7:00 pm.); Outdoor Public Space: 24 Hours",Yes,"Monday through Saturday, 8:30 am to 10:00 pm. Sundays from 10:00 am to 7:00 pm.",,"Artwork; Climate Control; Drinking Fountain; Escalator; Food Service; Litter Receptacles; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Tables; Trees within Space","Enclosed Public Space: Artwork (141 LF art wall); Enclosed Public Space: Climate Control; Enclosed Public Space: Drinking Fountain (2); Enclosed Public Space: Escalator (2); Enclosed Public Space: Food Service (284 sf kiosk); Enclosed Public Space: Litter Receptacles (8); Enclosed Public Space: Other Required (4,839 sf open exhibit area, 858 sf enclosed exhibit area, 365 sf); Enclosed Public Space: Planting (570 sf planting in bench containers); Enclosed Public Space: Plaque/Sign; Enclosed Public Space: Programs (series of special events, exhibits, and weekly performances of); Enclosed Public Space: Restrooms (2); Enclosed Public Space: Retail Frontage (920 sf of retail space); Enclosed Public Space: Seating (548 LF total seating provided, including 120 movable chairs. 75 Movable stools); Enclosed Public Space: Tables (24 movable tables); Enclosed Public Space: Trees within Space (15); Outdoor Public Space: Seating (276 linear feet of benches)",,141 LF art wall,,Yes,2,,2,284 sf kiosk,,8,570 sf planting in bench containers,Yes,"series of special events, exhibits, and weekly performances of",2,920 sf of retail space,"548 LF total seating provided, including 120 movable chairs. 75 Movable stools; 276 linear feet of benches",,24 movable tables,,15,,"4,839 sf open exhibit area, 858 sf enclosed exhibit area, 365 sf",Other Permitted,"Enclosed Public Space: Other Permitted (185 sf Platform for presentations / performance; 1450 sf artificial recreational lawn)",,"185 sf Platform for presentations / performance; 1450 sf artificial recreational lawn","Full/Partial",40.705269,-74.005515 ,0982721,0196225
M010012,Manhattan,1,01,110,WALL STREET,10005,"110 WALL STREET, New York, NY 10005",00037,0008,,Northeast corner of Wall and Front Streets,1964,27,,"9/63",Completed,Commercial,,,Arcade,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Arcade 3613.00 sf,24 Hours,Arcade: 24 Hours,Yes,,,None,Arcade: None,Yes,,,,,,,,,,,,,,,,,,,,,,Open Air Cafe,Arcade: Open Air Cafe (N 190137 ZCM),N 190137 ZCM,,"Full/Partial",40.704910,-74.006355 ,0982488,0196094
M010013,Manhattan,1,01,100,WALL STREET,10005,"100 WALL STREET, New York, NY 10005",00038,0001,,"Bounded by Front, Water, and Wall Streets",1969,29,,"1/67",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Arcade 2518.00 sf; Plaza 5933.20 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.705244,-74.006755 ,0982377,0196216
M010014,Manhattan,1,01,95,WALL STREET,10005,"95 WALL STREET, New York, NY 10005",00033,0011,,Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street,1969,22,,"99/67",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Arcade 2446.00 sf; Plaza 1963.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.704676,-74.007581 ,0982148,0196009
M010015,Manhattan,1,01,111,WALL STREET,10005,"111 WALL STREET, New York, NY 10005",00035,0010,,"Full block bounded by South Street, Front Street, Gouverneur Lane, and Wall Street",1967,24,,"10/66",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons; Thomas Balsley Associates (for alteration),Arcade 4589.00 sf; Plaza 10883.00 sf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.704265,-74.006997 ,0982310,0195859
M010016,Manhattan,1,01,77,WATER STREET,10005,"77 WATER STREET, New York, NY 10005",00033,0001,,"Full block bounded by Front Street, Water Street, Old Slip, and Gouverneur Lane",1970,26,,"42/68",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Arcade 10335.00 sf; Plaza 4956.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.704226,-74.008198 ,0981977,0195845
M010017,Manhattan,1,01,86,WATER STREET,10005,"86 WATER STREET, New York, NY 10005",00031,0001,10 Hanover Square,East side of Hanover Square between Water and Pearl Streets,1971,22,,"84/68",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Harry B. Helmsley,Emery Roth & Sons,"Emery Roth & Sons; Skidmore, Owings & Merrill (for alteration in 1997)",Plaza 3416.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.704569,-74.008858 ,0981794,0195970
M010018,Manhattan,1,01,40,BROAD STREET,10004,"40 BROAD STREET, New York, NY 10004",00024,7501,,"West side of Broad Street between Beaver Street and Exchange Place. Original BBL: 24/32.",1983,25,,"31/81",Completed,Commercial,,,Arcade; Urban Plaza,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,Gruzen & Partners,Gruzen & Partners,Arcade 745.00 sf; Urban Plaza 1498.74 sf,24 Hours,Arcade: 24 Hours; Urban Plaza: 24 Hours,Yes,,,Lighting; Litter Receptacles; None; Planting; Seating; Trees on Street; Trees within Space,"Arcade: None; Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (2); Urban Plaza: Planting (412 sf); Urban Plaza: Seating (64'-1"" LF); Urban Plaza: Trees on Street (3); Urban Plaza: Trees within Space (3)",Yes,,,,,,,,Yes,2,412 sf,,,,,"64'-1"" LF",,,3,3,,,,,,,"Full/Partial",40.706021,-74.011787 ,0980982,0196499
M010019,Manhattan,1,01,55,BROAD STREET,10004,"55 BROAD STREET, New York, NY 10004",00025,0001,,Northeast corner of Broad and Beaver Streets,1966,30,,"59/64",Completed,Commercial,,,Arcade,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Arcade 4089.00 sf,24 Hours,Arcade: 24 Hours,Yes,,,None,Arcade: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.705277,-74.011047 ,0981187,0196228
M010020,Manhattan,1,01,55,BROADWAY,10006,"55 BROADWAY, New York, NY 10006",00020,0016,1 Exchange Plaza,Southwest corner of Broadway and Exchange Alley,1983,31,,"59/80",Completed,Commercial,,Southwest corner of Broadway and Exchange Alley,Other Public Access Areas; Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Other Public Access Areas,,Fox & Fowle,Fox & Fowle; Abel Bainsson and Butz (for alteration in 2010),Other Public Access Areas 0.00 sf; Urban Plaza 1726.00 sf,24 Hours,Other Public Access Areas: 24 Hours; Urban Plaza: 24 Hours,Yes,,,"Escalator; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables","Other Public Access Areas: Escalator (Pair of escalators on Exchange Alley connecting Other Public Access Areas to Urban Plaza); Other Public Access Areas: Lighting; Other Public Access Areas: Litter Receptacles (3); Other Public Access Areas: Planting; Other Public Access Areas: Plaque/Sign (Open space plaque at Trinity Place); Other Public Access Areas: Retail Frontage; Other Public Access Areas: Seating (36 chairs); Other Public Access Areas: Tables (9); Urban Plaza: Escalator (Pair of escalators on Exchange Alley connecting Other Public Access Areas to Urban Plaza); Urban Plaza: Lighting (Minimum 2 foot candles through walking surfaces); Urban Plaza: Planting (155.3 sf); Urban Plaza: Plaque/Sign (1 entry plaque, 1 information plaque, 1 hours of access plaque); Urban Plaza: Seating (40 linear feet)",,,,,,,Pair of escalators on Exchange Alley connecting Other Public Access Areas to Urban Plaza; Pair of escalators on Exchange Alley connecting Other Public Access Areas to Urban Plaza,,Minimum 2 foot candles through walking surfaces,3,155.3 sf,"1 entry plaque, 1 information plaque, 1 hours of access plaque; Open space plaque at Trinity Place",,,Yes,36 chairs; 40 linear feet,,9,,,,,,,,,"Full/Partial",40.706855,-74.013024 ,0980639,0196803
M010021,Manhattan,1,01,52,BROADWAY,10004,"52 BROADWAY, New York, NY 10004",00022,0028,,Southeast corner of Exchange Alley and Broadway,1983,20,,"31/81",Completed,Commercial,,,Through Block Arcade Equivalent,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Through Block Arcade Equivalent,Jack Resnick,Emery Roth & Sons,Emery Roth & Sons,Through Block Arcade Equivalent 4841.00 sf,Restricted Hours,"Through Block Arcade Equivalent: Restricted Hours (Monday through Friday, 6:30 am to 6:30 pm, excluding bank holidays (minimum hours agreed to by owner pending discussions with City)",,"Monday through Friday, 6:30 am to 6:30 pm, excluding bank holidays (minimum hours agreed to by owner pending discussions with City",,Artwork; Escalator; Lighting; Planting; Retail Frontage,Through Block Arcade Equivalent: Artwork (On granite wall); Through Block Arcade Equivalent: Escalator (Connecting street level and lower level); Through Block Arcade Equivalent: Lighting; Through Block Arcade Equivalent: Planting; Through Block Arcade Equivalent: Retail Frontage,,On granite wall,,,,,Connecting street level and lower level,,Yes,,Yes,,,,Yes,,,,,,,,,,,,"Full/Partial",40.706485,-74.012274 ,0980847,0196668
M010022,Manhattan,1,01,45,BROADWAY,10006,"45 BROADWAY, New York, NY 10006",00020,0009,45 Broadway Atrium,West side of Broadway between Morris Street and Exchange Alley,1983,31,,"4/82",Completed,Commercial,,,Arcade; Shopping Arcade,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Shopping Arcade,"HRO International, Ltd.",Fox and Fowle,Fox and Fowle,Arcade 1983.00 sf; Shopping Arcade 81.68 sf,24 Hours,Arcade: 24 Hours; Shopping Arcade: 24 Hours,Yes,,,Escalator; Subway,Arcade: Subway (Improvements to Wall Street subway station); Shopping Arcade: Escalator (Connecting Shopping Arcade and lobby of building); Shopping Arcade: Subway (Improvements to Wall Street subway station),,,,,,,Connecting Shopping Arcade and lobby of building,,,,,,,,,,Improvements to Wall Street subway station; Improvements to Wall Street subway station,,,,,,,,,,"Full/Partial",40.706542,-74.013266 ,0980572,0196689
M010023,Manhattan,1,01,90,WASHINGTON STREET,10006,"90 WASHINGTON STREET, New York, NY 10006",00017,0029,,"Bounded by Washington, West, and Rector Streets",1968,26,,"14/67",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Fred Safran,Fred Safran,Plaza 8789.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,"Bicycle Parking; Lighting; Planting; Plaque/Sign; Seating; Trees within Space","Plaza: Bicycle Parking (7 bike capacity rack); Plaza: Lighting; Plaza: Planting (96 linear feet of evergreen along West Street, 2 planters along Washington Street); Plaza: Plaque/Sign (2); Plaza: Seating (115 linear feet including 16 benches and 1 seat wall); Plaza: Trees within Space (6)",,,7 bike capacity rack,,,,,,Yes,,"96 linear feet of evergreen along West Street, 2 planters along Washington Street",2,,,,115 linear feet including 16 benches and 1 seat wall,,,,6,,,,,,,"Full/Partial",40.708074,-74.014850 ,0980133,0197247
M010024,Manhattan,1,01,7,HANOVER SQUARE,10004,"7 HANOVER SQUARE, New York, NY 10004",00030,0019,,South side of Hanover Square between Water and Pearl Streets,1983,26,,"15/81",Completed,Commercial,,,Arcade; Through Block Arcade,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Arcade 5349.06 sf; Through Block Arcade 7467.13 sf,24 Hours,Arcade: 24 Hours; Through Block Arcade: 24 Hours,Yes,,,"Lighting; None; Planting; Plaque/Sign; Retail Frontage","Arcade: None; Through Block Arcade: Lighting (Through Block Arcade); Through Block Arcade: Planting (Through Block Arcade); Through Block Arcade: Plaque/Sign (Through Block Arcade); Through Block Arcade: Retail Frontage (Through Block Arcade)",Yes,,,,,,,,Through Block Arcade,,Through Block Arcade,Through Block Arcade,,,Through Block Arcade,,,,,,,,,,,,"Full/Partial",40.704059,-74.009655 ,0981573,0195784
